"LAW_CD","EMD_CD","GU_NM","LAW_NM"
"1174010600","11740106",강동구,둔촌동
"1174010700","11740107",강동구,암사동
"1174010800","11740108",강동구,성내동
"1174010900","11740109",강동구,천호동
"1174011000","11740110",강동구,강일동
"1111010100","11110101",종로구,청운동
"1111010200","11110102",종로구,신교동
"1111010300","11110103",종로구,궁정동
"1111010400","11110104",종로구,효자동
"1111010500","11110105",종로구,창성동
"1111010600","11110106",종로구,통의동
"1111010700","11110107",종로구,적선동
"1111010800","11110108",종로구,통인동
"1111010900","11110109",종로구,누상동
"1111011000","11110110",종로구,누하동
"1111011100","11110111",종로구,옥인동
"1111011200","11110112",종로구,체부동
"1111011300","11110113",종로구,필운동
"1111011400","11110114",종로구,내자동
"1111011500","11110115",종로구,사직동
"1111011600","11110116",종로구,도렴동
"1111011700","11110117",종로구,당주동
"1111011800","11110118",종로구,내수동
"1111011900","11110119",종로구,세종로
"1111012000","11110120",종로구,신문로1가
"1111012100","11110121",종로구,신문로2가
"1111012200","11110122",종로구,청진동
"1111012300","11110123",종로구,서린동
"1111012400","11110124",종로구,수송동
"1111012500","11110125",종로구,중학동
"1111012600","11110126",종로구,종로1가
"1111012700","11110127",종로구,공평동
"1111012800","11110128",종로구,관훈동
"1111012900","11110129",종로구,견지동
"1111013000","11110130",종로구,와룡동
"1111013100","11110131",종로구,권농동
"1111013200","11110132",종로구,운니동
"1111013300","11110133",종로구,익선동
"1111013400","11110134",종로구,경운동
"1111013500","11110135",종로구,관철동
"1111013600","11110136",종로구,인사동
"1111013700","11110137",종로구,낙원동
"1111013800","11110138",종로구,종로2가
"1111013900","11110139",종로구,팔판동
"1111014000","11110140",종로구,삼청동
"1111014100","11110141",종로구,안국동
"1111014200","11110142",종로구,소격동
"1111014300","11110143",종로구,화동
"1111014400","11110144",종로구,사간동
"1111014500","11110145",종로구,송현동
"1111014600","11110146",종로구,가회동
"1111014700","11110147",종로구,재동
"1111014800","11110148",종로구,계동
"1111014900","11110149",종로구,원서동
"1111015000","11110150",종로구,훈정동
"1111015100","11110151",종로구,묘동
"1111015200","11110152",종로구,봉익동
"1111015300","11110153",종로구,돈의동
"1111015400","11110154",종로구,장사동
"1111015500","11110155",종로구,관수동
"1111015600","11110156",종로구,종로3가
"1111015700","11110157",종로구,인의동
"1111015800","11110158",종로구,예지동
"1111015900","11110159",종로구,원남동
"1111016000","11110160",종로구,연지동
"1111016100","11110161",종로구,종로4가
"1111016200","11110162",종로구,효제동
"1111016300","11110163",종로구,종로5가
"1111016400","11110164",종로구,종로6가
"1111016500","11110165",종로구,이화동
"1111016600","11110166",종로구,연건동
