EMD_CD,LAW_CD,GU_NM,LAW_NM,ADM_CD,ADM_NM,CONFIDENCE
11110101,1111010100,종로구,청운동,11110515,청운효자동,1.0
11110102,1111010200,종로구,신교동,11110580,교남동,0.667
11110103,1111010300,종로구,궁정동,11110515,청운효자동,0.8
11110104,1111010400,종로구,효자동,11110515,청운효자동,1.0
11110105,1111010500,종로구,창성동,11110560,평창동,0.667
11110106,1111010600,종로구,통의동,11110515,청운효자동,0.8
11110107,1111010700,종로구,적선동,11110515,청운효자동,0.8
11110108,1111010800,종로구,통인동,11110700,숭인1동,0.571
11110109,1111010900,종로구,누상동,11110515,청운효자동,0.8
11110110,1111011000,종로구,누하동,11110515,청운효자동,0.8
11110111,1111011100,종로구,옥인동,11110700,숭인1동,0.571
11110112,1111011200,종로구,체부동,11110550,부암동,0.667
11110113,1111011300,종로구,필운동,11110515,청운효자동,0.5
11110114,1111011400,종로구,내자동,11110515,청운효자동,0.5
11110115,1111011500,종로구,사직동,11110530,사직동,1.0
11110116,1111011600,종로구,도렴동,11110570,무악동,0.8
11110117,1111011700,종로구,당주동,11110570,무악동,0.8
11110118,1111011800,종로구,내수동,11110570,무악동,0.8
11110119,1111011900,종로구,세종로,11110630,종로5·6가동,0.4
11110120,1111012000,종로구,신문로1가,11110670,창신1동,0.444
11110121,1111012100,종로구,신문로2가,11110680,창신2동,0.444
11110122,1111012200,종로구,청진동,11110540,삼청동,0.667
11110123,1111012300,종로구,서린동,11110570,무악동,0.8
11110124,1111012400,종로구,수송동,11110570,무악동,0.8
11110125,1111012500,종로구,중학동,11110570,무악동,0.8
11110126,1111012600,종로구,종로1가,11110630,종로5·6가동,0.545
11110127,1111012700,종로구,공평동,11110560,평창동,0.667
11110128,1111012800,종로구,관훈동,11110570,무악동,0.8
11110129,1111012900,종로구,견지동,11110570,무악동,0.8
11110130,1111013000,종로구,와룡동,11110600,가회동,0.8
11110131,1111013100,종로구,권농동,11110570,무악동,0.8
11110132,1111013200,종로구,운니동,11110515,청운효자동,0.5
11110133,1111013300,종로구,익선동,11110580,교남동,0.8
11110134,1111013400,종로구,경운동,11110515,청운효자동,0.5
11110135,1111013500,종로구,관철동,11110570,무악동,0.8
11110136,1111013600,종로구,인사동,11110530,사직동,0.667
11110137,1111013700,종로구,낙원동,11110580,교남동,0.8
11110138,1111013800,종로구,종로2가,11110630,종로5·6가동,0.545
11110139,1111013900,종로구,팔판동,11110540,삼청동,0.8
11110140,1111014000,종로구,삼청동,11110540,삼청동,1.0
11110141,1111014100,종로구,안국동,11110540,삼청동,0.8
11110142,1111014200,종로구,소격동,11110540,삼청동,0.8
11110143,1111014300,종로구,화동,11110640,이화동,1.0
11110144,1111014400,종로구,사간동,11110530,사직동,0.667
11110145,1111014500,종로구,송현동,11110570,무악동,0.8
11110146,1111014600,종로구,가회동,11110600,가회동,1.0
11110147,1111014700,종로구,재동,11110530,사직동,0.4
11110148,1111014800,종로구,계동,11110530,사직동,0.4
11110149,1111014900,종로구,원서동,11110550,부암동,0.8
11110150,1111015000,종로구,훈정동,11110580,교남동,0.8
11110151,1111015100,종로구,묘동,11110530,사직동,0.4
11110152,1111015200,종로구,봉익동,11110580,교남동,0.8
11110153,1111015300,종로구,돈의동,11110580,교남동,0.8
11110154,1111015400,종로구,장사동,11110530,사직동,0.667
11110155,1111015500,종로구,관수동,11110580,교남동,0.8
11110156,1111015600,종로구,종로3가,11110630,종로5·6가동,0.545
11110157,1111015700,종로구,인의동,11110700,숭인1동,0.571
11110158,1111015800,종로구,예지동,11110580,교남동,0.8
11110159,1111015900,종로구,원남동,11110580,교남동,0.667
11110160,1111016000,종로구,연지동,11110610,,0.8
11110161,1111016100,종로구,종로4가,11110630,종로5·6가동,0.545
11110162,1111016200,종로구,효제동,11110515,청운효자동,0.5
11110163,1111016300,종로구,종로5가,11110630,종로5·6가동,0.727
11110164,1111016400,종로구,종로6가,11110630,종로5·6가동,0.727
11110165,1111016500,종로구,이화동,11110640,이화동,1.0
11110166,1111016600,종로구,연건동,11110610,,0.8
11110167,1111016700,종로구,충신동,11110670,창신1동,0.571
11110168,1111016800,종로구,동숭동,11110700,숭인1동,0.586
11110169,1111016900,종로구,혜화동,11110650,혜화동,1.0
11110170,1111017000,종로구,명륜1가,11110610,,0.8
11110171,1111017100,종로구,명륜2가,11110610,,0.8
11110172,1111017200,종로구,명륜4가,11110610,,0.8
11110173,1111017300,종로구,명륜3가,11110610,,0.8
11110174,1111017400,종로구,창신동,11110670,창신1동,1.0
11110175,1111017500,종로구,숭인동,11110700,숭인1동,1.0
11110176,1111017600,종로구,교남동,11110580,교남동,1.0
11110177,1111017700,종로구,평동,11110560,평창동,1.0
11110178,1111017800,종로구,송월동,11110515,청운효자동,0.8
11110179,1111017900,종로구,홍파동,11110515,청운효자동,0.8
11110180,1111018000,종로구,교북동,11110580,교남동,0.667
11110181,1111018100,종로구,행촌동,11110515,청운효자동,0.8
11110182,1111018200,종로구,구기동,11110550,부암동,0.8
11110183,1111018300,종로구,평창동,11110560,평창동,1.0
11110184,1111018400,종로구,부암동,11110550,부암동,1.0
11110185,1111018500,종로구,홍지동,11110550,부암동,0.8
11110186,1111018600,종로구,신영동,11110670,창신1동,0.571
11110187,1111018700,종로구,무악동,11110570,무악동,1.0
11140101,1114010100,중구,무교동,11140550,명동,0.4
11140102,1114010200,중구,다동,11140625,다산동,1.0
11140103,1114010300,중구,태평로1가,11140570,필동,0.8
11140104,1114010400,중구,을지로1가,11140605,을지로동,0.967
11140105,1114010500,중구,을지로2가,11140605,을지로동,0.967
11140106,1114010600,중구,남대문로1가,11140570,필동,0.8
11140107,1114010700,중구,삼각동,11140550,명동,0.4
11140108,1114010800,중구,수하동,11140635,약수동,0.667
11140109,1114010900,중구,장교동,11140580,장충동,0.667
11140110,1114011000,중구,수표동,11140635,약수동,0.667
11140111,1114011100,중구,소공동,11140520,소공동,1.0
11140112,1114011200,중구,남창동,11140550,명동,0.4
11140113,1114011300,중구,북창동,11140550,명동,0.4
11140114,1114011400,중구,태평로2가,11140570,필동,0.8
11140115,1114011500,중구,남대문로2가,11140570,필동,0.8
11140116,1114011600,중구,남대문로3가,11140570,필동,0.8
11140117,1114011700,중구,남대문로4가,11140570,필동,0.8
11140118,1114011800,중구,남대문로5가,11140570,필동,0.8
11140119,1114011900,중구,봉래동1가,11140640,,0.8
11140120,1114012000,중구,봉래동2가,11140640,,0.8
11140121,1114012100,중구,회현동1가,11140540,회현동,1.0
11140122,1114012200,중구,회현동2가,11140540,회현동,1.0
11140123,1114012300,중구,회현동3가,11140540,회현동,1.0
11140124,1114012400,중구,충무로1가,11140590,광희동,0.8
11140125,1114012500,중구,충무로2가,11140590,광희동,0.8
11140126,1114012600,중구,명동1가,11140550,명동,0.967
11140127,1114012700,중구,명동2가,11140550,명동,0.967
11140128,1114012800,중구,남산동1가,11140625,다산동,0.5
11140129,1114012900,중구,남산동2가,11140625,다산동,0.5
11140130,1114013000,중구,남산동3가,11140625,다산동,0.5
11140131,1114013100,중구,저동1가,11140600,,0.8
11140132,1114013200,중구,충무로4가,11140610,,0.8
11140133,1114013300,중구,충무로5가,11140610,,0.8
11140134,1114013400,중구,인현동2가,11140540,회현동,0.5
11140135,1114013500,중구,예관동,11140550,명동,0.4
11140136,1114013600,중구,묵정동,11140550,명동,0.4
11140137,1114013700,중구,필동1가,11140570,필동,0.967
11140138,1114013800,중구,필동2가,11140570,필동,0.967
11140139,1114013900,중구,필동3가,11140570,필동,0.967
11140140,1114014000,중구,남학동,11140670,황학동,0.667
11140141,1114014100,중구,주자동,11140550,명동,0.4
11140142,1114014200,중구,예장동,11140580,장충동,0.667
11140143,1114014300,중구,장충동1가,11140580,장충동,1.0
11140144,1114014400,중구,장충동2가,11140580,장충동,1.0
11140145,1114014500,중구,광희동1가,11140590,광희동,1.0
11140146,1114014600,중구,광희동2가,11140590,광희동,1.0
11140147,1114014700,중구,쌍림동,11140680,중림동,0.667
11140148,1114014800,중구,을지로6가,11140605,을지로동,0.967
11140149,1114014900,중구,을지로7가,11140605,을지로동,0.967
11140150,1114015000,중구,을지로4가,11140605,을지로동,0.967
11140151,1114015100,중구,을지로5가,11140605,을지로동,0.967
11140152,1114015200,중구,주교동,11140550,명동,0.4
11140153,1114015300,중구,방산동,11140625,다산동,0.667
11140154,1114015400,중구,오장동,11140580,장충동,0.667
11140155,1114015500,중구,을지로3가,11140605,을지로동,0.967
11140156,1114015600,중구,입정동,11140550,명동,0.4
11140157,1114015700,중구,산림동,11140625,다산동,0.667
11140158,1114015800,중구,충무로3가,11140610,,0.8
11140159,1114015900,중구,초동,11140550,명동,0.5
11140160,1114016000,중구,인현동1가,11140540,회현동,0.5
11140161,1114016100,중구,저동2가,11140600,,0.8
11140162,1114016200,중구,신당동,11140615,신당동,1.0
11140163,1114016300,중구,흥인동,11140550,명동,0.4
11140164,1114016400,중구,무학동,11140670,황학동,0.667
11140165,1114016500,중구,황학동,11140670,황학동,1.0
11140166,1114016600,중구,서소문동,11140520,소공동,0.571
11140167,1114016700,중구,정동,11140550,명동,0.5
11140168,1114016800,중구,순화동,11140665,동화동,0.967
11140169,1114016900,중구,의주로1가,11140640,,0.8
11140170,1114017000,중구,충정로1가,11140650,신당5동,0.8
11140171,1114017100,중구,중림동,11140680,중림동,1.0
11140172,1114017200,중구,의주로2가,11140640,,0.8
11140173,1114017300,중구,만리동1가,11140640,,0.8
11140174,1114017400,중구,만리동2가,11140640,,0.8
11170101,1117010100,용산구,후암동,11170510,후암동,1.0
11170102,1117010200,용산구,용산동2가,11170520,용산2가동,1.0
11170103,1117010300,용산구,용산동4가,11170520,용산2가동,0.6
11170104,1117010400,용산구,갈월동,11170530,남영동,0.8
11170105,1117010500,용산구,남영동,11170530,남영동,1.0
