SIDO_NM,SGG_NM,LAW_CD,LAW_NM,ADM_CD,ADM_NM,MATCH_TYPE,CONFIDENCE
강원특별자치도,강릉시,5115034000,강동면,32030340,강동면,exact_match,1.0
강원특별자치도,강릉시,5115011000,교동,32030550,교1동,prefix_match,0.95
강원특별자치도,강릉시,5115011000,교동,32030560,교2동,prefix_match,0.95
강원특별자치도,강릉시,5115033000,구정면,32030330,구정면,exact_match,1.0
강원특별자치도,강릉시,5115011600,내곡동,32030610,내곡동,exact_match,1.0
강원특별자치도,강릉시,5115036000,사천면,32030360,사천면,exact_match,1.0
강원특별자치도,강릉시,5115031000,성산면,32030310,성산면,exact_match,1.0
강원특별자치도,강릉시,5115011400,송정동,32030600,송정동,exact_match,1.0
강원특별자치도,강릉시,5115037000,연곡면,32030370,연곡면,exact_match,1.0
강원특별자치도,강릉시,5115035000,옥계면,32030350,옥계면,exact_match,1.0
강원특별자치도,강릉시,5115010900,옥천동,32030540,옥천동,exact_match,1.0
강원특별자치도,강릉시,5115032000,왕산면,32030320,왕산면,exact_match,1.0
강원특별자치도,강릉시,5115025000,주문진읍,32030110,주문진읍,exact_match,1.0
강원특별자치도,강릉시,5115011200,초당동,32030590,초당동,exact_match,1.0
강원특별자치도,강릉시,5115011100,포남동,32030570,포남1동,prefix_match,0.95
강원특별자치도,강릉시,5115011100,포남동,32030580,포남2동,prefix_match,0.95
강원특별자치도,강릉시,5115010100,홍제동,32030510,홍제동,exact_match,1.0
강원특별자치도,고성군,5182025000,간성읍,32600110,간성읍,exact_match,1.0
강원특별자치도,고성군,5182025300,거진읍,32600120,거진읍,exact_match,1.0
강원특별자치도,고성군,5182034000,수동면,32600260,수동면,exact_match,1.0
강원특별자치도,고성군,5182032000,죽왕면,32600320,죽왕면,exact_match,1.0
강원특별자치도,고성군,5182033000,토성면,32600330,토성면,exact_match,1.0
강원특별자치도,고성군,5182031000,현내면,32600310,현내면,exact_match,1.0
강원특별자치도,동해시,5117012900,망상동,32040630,망상동,exact_match,1.0
강원특별자치도,동해시,5117011100,발한동,32040570,발한동,exact_match,1.0
강원특별자치도,동해시,5117011000,부곡동,32040540,부곡동,exact_match,1.0
강원특별자치도,동해시,5117011200,북평동,32040600,북평동,exact_match,1.0
강원특별자치도,동해시,5117012400,삼화동,32040650,삼화동,exact_match,1.0
강원특별자치도,동해시,5117010300,송정동,32040520,송정동,exact_match,1.0
강원특별자치도,동해시,5117010100,천곡동,32040510,천곡동,exact_match,1.0
강원특별자치도,삼척시,5123035000,가곡면,32070350,가곡면,exact_match,1.0
강원특별자치도,삼척시,5123010600,교동,32070530,교동,exact_match,1.0
강원특별자치도,삼척시,5123031000,근덕면,32070310,근덕면,exact_match,1.0
강원특별자치도,삼척시,5123012000,남양동,32070510,남양동,exact_match,1.0
강원특별자치도,삼척시,5123033000,노곡면,32070330,노곡면,exact_match,1.0
강원특별자치도,삼척시,5123025000,도계읍,32070110,도계읍,exact_match,1.0
강원특별자치도,삼척시,5123034000,미로면,32070340,미로면,exact_match,1.0
강원특별자치도,삼척시,5123010100,성내동,32070520,성내동,exact_match,1.0
강원특별자치도,삼척시,5123036000,신기면,32070360,신기면,exact_match,1.0
강원특별자치도,삼척시,5123025300,원덕읍,32070120,원덕읍,exact_match,1.0
강원특별자치도,삼척시,5123032000,하장면,32070320,하장면,exact_match,1.0
강원특별자치도,속초시,5121010600,교동,32060560,교동,exact_match,1.0
강원특별자치도,속초시,5121010400,금호동,32060540,금호동,exact_match,1.0
강원특별자치도,속초시,5121010700,노학동,32060570,노학동,exact_match,1.0
강원특별자치도,속초시,5121011000,대포동,32060600,대포동,exact_match,1.0
강원특별자치도,속초시,5121010200,동명동,32060520,동명동,exact_match,1.0
강원특별자치도,속초시,5121010100,영랑동,32060510,영랑동,exact_match,1.0
강원특별자치도,속초시,5121010800,조양동,32060580,조양동,exact_match,1.0
강원특별자치도,속초시,5121010900,청호동,32060590,청호동,exact_match,1.0
강원특별자치도,양구군,5180031500,국토정중앙면,32580350,국토정중앙면,exact_match,1.0
강원특별자치도,양구군,5180032000,동면,32580320,동면,exact_match,1.0
강원특별자치도,양구군,5180033000,방산면,32580330,방산면,exact_match,1.0
강원특별자치도,양구군,5180025000,양구읍,32580110,양구읍,exact_match,1.0
강원특별자치도,양구군,5180034000,해안면,32580340,해안면,exact_match,1.0
강원특별자치도,양양군,5183035000,강현면,32610350,강현면,exact_match,1.0
강원특별자치도,양양군,5183031000,서면,32610310,서면,exact_match,1.0
강원특별자치도,양양군,5183032000,손양면,32610320,손양면,exact_match,1.0
강원특별자치도,양양군,5183025000,양양읍,32610110,양양읍,exact_match,1.0
강원특별자치도,양양군,5183034000,현남면,32610340,현남면,exact_match,1.0
강원특별자치도,양양군,5183033000,현북면,32610330,현북면,exact_match,1.0
강원특별자치도,영월군,5175032500,김삿갓면,32530380,김삿갓면,exact_match,1.0
강원특별자치도,영월군,5175034000,남면,32530340,남면,exact_match,1.0
강원특별자치도,영월군,5175038000,무릉도원면,32530400,무릉도원면,exact_match,1.0
강원특별자치도,영월군,5175033000,북면,32530330,북면,exact_match,1.0
강원특별자치도,영월군,5175031200,산솔면,32530410,산솔면,exact_match,1.0
강원특별자치도,영월군,5175025300,상동읍,32530120,상동읍,exact_match,1.0
강원특별자치도,영월군,5175025000,영월읍,32530110,영월읍,exact_match,1.0
강원특별자치도,영월군,5175036000,주천면,32530360,주천면,exact_match,1.0
강원특별자치도,영월군,5175035500,한반도면,32530390,한반도면,exact_match,1.0
강원특별자치도,원주시,5113010500,개운동,32020530,개운동,exact_match,1.0
강원특별자치도,원주시,5113036000,귀래면,32020350,귀래면,exact_match,1.0
강원특별자치도,원주시,5113011000,단계동,32020600,단계동,exact_match,1.0
강원특별자치도,원주시,5113010700,단구동,32020560,단구동,exact_match,1.0
강원특별자치도,원주시,5113010600,명륜동,32020540,명륜1동,prefix_match,0.95
강원특별자치도,원주시,5113010600,명륜동,32020550,명륜2동,prefix_match,0.95
강원특별자치도,원주시,5113011500,무실동,32020670,무실동,exact_match,1.0
강원특별자치도,원주시,5113025000,문막읍,32020110,문막읍,exact_match,1.0
강원특별자치도,원주시,5113011700,반곡동,32020680,반곡관설동,startswith_match,0.9
강원특별자치도,원주시,5113011300,봉산동,32020640,봉산동,exact_match,1.0
강원특별자치도,원주시,5113035000,부론면,32020340,부론면,exact_match,1.0
강원특별자치도,원주시,5113031000,소초면,32020310,소초면,exact_match,1.0
강원특별자치도,원주시,5113039000,신림면,32020380,신림면,exact_match,1.0
강원특별자치도,원주시,5113011100,우산동,32020610,우산동,exact_match,1.0
강원특별자치도,원주시,5113010300,원동,32020520,원인동,startswith_match,0.9
강원특별자치도,원주시,5113010800,일산동,32020570,일산동,exact_match,1.0
강원특별자치도,원주시,5113010100,중앙동,32020510,중앙동,exact_match,1.0
