SEQ,SENSOR_CD,SERIAL_NO,ADDR,MAP_X,MAP_Y
1,2992,V02Q1940942,서울특별시 양천구 신월동 805,37.53246263,126.8330763
2,2993,V02Q1940889,서울특별시 도봉구 창동 585-13,37.63994636,127.0360107
3,2994,V02Q1940947,서울특별시 동작구 상도동 518-7,37.4990258,126.9520123
4,2995,V02Q1940888,서울특별시 광진구 중곡동 265-5,37.56307353,127.0819947
5,2996,V02Q1940851,서울특별시 강동구 암사동 501-4,37.55039085,127.1282922
6,2997,V02Q1940945,서울특별시 마포구 망원동 403-6,37.55524371,126.9069028
7,2998,V02Q1940164,서울특별시 강남구 개포동 186-19,37.48858687,127.0679878
8,2999,V02Q1940948,서울특별시 금천구 독산4동 371-2,37.47007655,126.907223
9,3000,V02Q1940140,서울특별시 구로구 고척동 291-1,37.50248471,126.8510405
10,3001,V02Q1940950,서울특별시 노원구 공릉동 552-4,37.62280993,127.0749633
11,3002,V02Q1940449,서울특별시 마포구 망원동 403-2,37.55579118,126.9059871
12,3003,V02Q1940946,서울특별시 양천구 신월동 796,37.534444,126.8347904
13,3004,V02Q1940941,서울특별시 송파구 잠실동 205-17,37.50908813,127.0840569
14,3005,V02Q1940724,서울특별시 강남구 역삼동 805-36,37.49732201,127.0513158
15,3006,V02Q1940860,서울특별시 광진구 자양동 720,37.5334424,127.0809633
16,3007,V02Q1940076,서울특별시 노원구 공릉동 587-8,37.62202353,127.0774806
17,3008,V02Q1940943,서울특별시 양천구 목동 616-15,37.54850717,126.8646481
18,3009,V02Q1940515,서울특별시 구로구 고척동 291-1,37.50174862,126.8507697
19,3010,V02Q1940665,서울특별시 도봉구 창동 445-22,37.64068341,127.0354904
20,3011,V02Q1940953,서울특별시 강남구 개포동 186-19,37.48903041,127.0678834
21,3012,V02Q1940808,서울특별시 종로구 신문로2가 6-3,37.56874524,126.9687649
22,3013,V02Q1940783,서울특별시 도봉구 창동 445-10,37.6396453,127.0380532
23,3014,V02Q1940448,서울특별시 강북구 수유동 54-5,37.63075938,127.0235503
24,3015,V02Q1940846,서울특별시 도봉구 창동 542-1,37.63739638,127.0390037
25,3016,V02Q1940951,서울특별시 양천구 신월동 802,37.53124609,126.8361285
26,3017,V02Q1940862,서울특별시 구로구 구로동 735-16,37.48887854,126.8851157
27,3018,V02Q1940944,서울특별시 중랑구 묵동 249-24,37.60504164,127.0754326
28,3019,V02Q1940799,서울특별시 도봉구 창동 557-72,37.6378168,127.038271
29,3020,V02Q1940954,서울특별시 강남구 논현동 280,37.508671,127.0227914
30,3021,V02Q1940747,서울특별시 동작구 상도동 518-7,37.499726,126.9513962
31,3022,V02Q1940517,서울특별시 관악구 신원로 3다길 1,37.48248622,126.9264971
32,3023,V02Q1940727,서울특별시 중랑구 중화동 65-9,37.60504697,127.0762879
33,3024,V02Q1940142,서울특별시 강동구 암사동 548,37.55054502,127.1278725
34,3025,V02Q1940770,서울특별시 강동구 암사동 496-25,37.5498763,127.1294778
35,3026,V02Q1940858,서울특별시 구로구 구로동 762,37.48821616,126.8851381
36,3027,V02Q1940949,서울특별시 강북구 수유동 55-7,37.6303757,127.0226279
